node_number,Latitude,Longitude
373,37.16205,-119.256808
374,37.16205,-119.256808
375,37.16205,-119.256808
376,37.16205,-119.256808
377,37.16205,-119.256808
378,37.16205,-119.256808
379,37.16205,-119.256808
380,37.16205,-119.256808
381,37.16205,-119.256808
382,37.16205,-119.256808
383,37.16205,-119.256808
384,38.690631,-121.737958
385,37.294808,-118.588835
386,37.323451,-118.542376
387,40.992101,-121.975407
388,40.992101,-121.975407
389,39.293837,-120.602264
390,39.986873,-121.283007
391,39.986873,-121.283007
392,40.175742,-121.190667
393,39.048726,-121.316952
394,40.085484,-121.14815
395,40.085484,-121.14815
396,39.177902,-120.890872
397,37.09349,-120.226639
398,39.709186,-121.56899
399,40.393709,-122.129956
400,39.330706,-121.191538
401,39.330706,-121.191538
402,38.144865,-120.379861
403,38.144865,-120.379861
404,37.94434,-119.216079
405,38.018533,-121.760272
406,32.578596,-116.872331
407,32.578596,-116.872331
408,32.578596,-116.872331
409,32.578596,-116.872331
410,34.196246,-119.166442
411,34.120352,-117.63938
412,34.154522,-117.772726
413,34.156832,-117.54675
414,34.09972,-117.91861
415,34.100086,-117.55274
416,35.719014,-119.234687
417,35.719014,-119.234687
418,34.452507,-118.611232
419,35.026009,-118.297559
420,35.026009,-118.297559
421,35.026009,-118.297559
422,35.026009,-118.297559
423,35.026009,-118.297559
424,34.687447,-118.300419
425,34.687447,-118.300419
426,34.687447,-118.300419
427,34.687447,-118.300419
428,34.687447,-118.300419
429,34.687447,-118.300419
430,34.687447,-118.300419
431,34.687447,-118.300419
432,34.687447,-118.300419
433,33.816472,-118.244896
434,35.483712,-119.029829
435,36.002239,-117.788623
436,36.002239,-117.788623
437,36.002239,-117.788623
438,32.562467,-116.943503
439,33.615792,-114.686509
440,33.615792,-114.686509
441,33.615792,-114.686509
442,33.914233,-116.710119
443,36.002239,-117.788623
444,36.002239,-117.788623
445,36.002239,-117.788623
446,34.075108,-117.288758
447,34.075108,-117.288758
448,34.075108,-117.288758
449,34.075108,-117.288758
450,35.096801,-119.429827
451,34.041402,-117.360397
452,40.990547,-121.498866
453,39.82595,-121.409749
454,39.82595,-121.409749
455,37.189273,-119.467029
456,38.056531,-122.219623
457,39.564729,-121.155102
458,39.29833,-120.84306
459,38.016955,-121.845359
460,38.016955,-121.845359
461,38.016955,-121.845359
462,38.016955,-121.845359
463,36.580845,-118.792566
464,37.971492,-122.058325
465,39.25665,-120.766816
466,39.25665,-120.766816
467,39.25665,-120.766816
468,39.25665,-120.766816
469,39.257434,-120.76656
470,39.933714,-121.611869
471,37.376938,-121.950928
472,37.376938,-121.950928
473,37.376938,-121.950928
474,39.217066,-120.835318
475,39.218351,-120.835145
476,37.147879,-119.256752
477,38.331218,-120.669968
478,38.331218,-120.669968
479,38.331218,-120.669968
480,37.64349,-120.718979
481,37.584132,-120.272373
482,40.799084,-124.203245
483,37.749279,-121.649777
484,37.749279,-121.649777
485,39.866654,-121.616643
486,38.017097,-121.758973
487,38.017097,-121.758973
488,38.017097,-121.758973
489,38.826781,-122.800574
490,38.796258,-122.766533
491,38.772546,-122.728647
492,38.785795,-122.782611
493,38.766029,-122.70671
494,38.823533,-122.781619
495,38.768381,-122.747064
496,38.779006,-122.754526
497,37.000409,-121.536762
498,37.000409,-121.536762
499,36.999357,-121.536255
500,36.999357,-121.536255
501,36.999357,-121.536255
502,39.902901,-121.342819
503,36.999357,-121.536255
504,36.999357,-121.536255
505,36.999357,-121.536255
506,36.999357,-121.536255
507,38.71833,-123.01167
508,36.927323,-119.020222
509,36.927323,-119.020222
510,40.925827,-121.548238
511,40.950238,-121.545468
512,40.925827,-121.548238
513,40.895657,-121.797784
514,39.565693,-120.59691
515,37.023531,-118.971653
516,37.023531,-118.971653
517,37.023531,-118.971653
518,40.741347,-124.210112
519,39.533169,-121.485158
520,39.533169,-121.485158
521,39.533169,-121.485158
522,39.533169,-121.485158
523,39.533169,-121.485158
524,39.533169,-121.485158
525,39.533169,-121.485158
526,39.533169,-121.485158
527,39.533169,-121.485158
528,39.533169,-121.485158
529,40.401168,-121.963708
530,37.974474,-119.91522
531,37.974474,-119.91522
532,37.974474,-119.91522
533,37.974474,-119.91522
534,37.974474,-119.91522
535,37.974474,-119.91522
536,37.974474,-119.91522
537,37.041183,-121.179842
538,39.533169,-121.485158
539,40.78932,-124.19909
540,40.735847,-122.19664
541,37.425074,-121.932116
542,37.425074,-121.932116
543,37.425074,-121.932116
544,37.425074,-121.932116
545,37.425074,-121.932116
546,38.222165,-121.868192
547,38.241292,-121.854983
548,38.227002,-121.843922
549,38.030104,-121.872694
550,32.721575,-116.343899
551,33.935137,-116.577809
552,33.935137,-116.577809
553,33.935137,-116.577809
554,33.935137,-116.577809
555,35.21174,-120.85483
556,35.21174,-120.85483
557,35.509017,-119.030555
558,34.073981,-117.348907
559,34.073981,-117.348907
560,34.073981,-117.348907
561,34.073981,-117.348907
562,34.205536,-117.334733
563,34.205536,-117.334733
564,34.205536,-117.334733
565,34.205536,-117.334733
566,32.562467,-116.943503
567,32.79584,-116.972123
568,35.280659,-119.47286
569,35.280659,-119.47286
570,35.280659,-119.47286
571,33.136276,-117.336349
572,33.136276,-117.336349
573,33.136276,-117.336349
574,33.136276,-117.336349
575,33.136276,-117.336349
576,33.136276,-117.336349
577,33.11896,-117.08541
578,32.562467,-116.943503
579,35.395624,-119.320554
580,33.91361,-116.55083
581,34.595117,-117.36433
582,34.595117,-117.36433
583,34.595117,-117.36433
584,34.595117,-117.36433
585,33.644252,-117.978373
586,33.644252,-117.978373
587,33.911185,-116.553009
588,33.911185,-116.553009
589,33.911185,-116.553009
